,age,age,age,bmi,bmi,bmi,children,children,charges,charges,charges,sex,smoker,region
,mean,min,max,mean,min,max,mean,max,mean,min,max,<lambda>,<lambda>,<lambda>
Cluster,,,,,,,,,,,,,,
1,38.51459854014598,18,64,30.70844890510949,17.195,52.58,1.1131386861313868,5,32050.23183153285,12829.4551,63770.42801,male,yes,southeast
2,38.67399267399267,18,64,33.44241758241758,20.35,53.13,1.065934065934066,5,8032.216308937729,1121.8739,36580.28216,female,no,southeast
3,39.168539325842694,19,64,29.21267790262172,17.385,42.94,1.1198501872659177,5,8556.463715205993,1621.3402,33471.97189,female,no,northwest
4,39.86641221374046,18,64,29.931192748091604,15.96,48.07,1.0877862595419847,5,8581.470619501908,1241.565,36910.60803,female,no,southwest
